tier,country,language,language_basis,name,domain,catalogue_sources_in_country,catalogue_sources_in_language,flags
T2,by,ru,export,7Art,7art.ru,4,38,
T2,by,ru,export,Alfa Radio,alfaradio.by,4,38,
T2,by,be,export,ARCHE Pachatak,arche.by,4,1,
T2,by,ru,export,Belarus 1,tvr.by,4,38,
T2,by,ru,export,Belarus 2,belarus2.by,4,38,
T2,by,ru,export,Belarus 24,belarus24.by,4,38,
T2,by,be,export,Belarusian folklore. Data and research,ethnoby.org,4,1,
T2,by,en,export,Belarusian Telegraph Agency,belta.by,4,2327,
T2,by,ru,export,Belaruskaya dumka,beldumka.belta.by,4,38,
T2,by,ru,export,Bobruyskiy Kurier,babruysk.by,4,38,
T2,by,ru,export,Brestskiy Kurier,bk-brest.by,4,38,
T2,by,ru,export,Channel «Culture» of Belarusian Radio,radiokultura.by,4,38,
T2,by,ru,export,Flagshtok,flagshtok.info,4,38,
T2,by,be,export,Głos znad Niemna,zpb.org.pl,4,1,
T2,by,ru,export,Informatika,inf.grid.by,4,38,
T2,by,ru,export,Jazz-квадрат,jazzquad.ru,4,38,
T2,by,ru,export,Journal of Engineering Physics and Thermophysics,itmo.by,4,38,
T2,by,be,export,Journal of the Belarusian State University History,journals.bsu.by,4,1,
T2,by,ru,export,Komsomolskaya Pravda in Belarus,kp.by,4,38,
T2,by,be,export,Mastactva,kimpress.by,4,1,
T2,by,en,export,Minsk Dialogue Council on International Relations,minskdialogue.by,4,2327,
T2,by,ru,export,Minskaya Prawda,mlyn.by,4,38,
T2,by,ru,export,Minsknews,minsknews.by,4,38,
T2,by,ru,export,Miorskiya naviny,mijory.by,4,38,
T2,by,en,export,Narodnaja Volya,nv-online.info,4,2327,
T2,by,ru,export,Narodnya Naviny Vitsebska,vitebsk.cc,4,38,
T2,by,be,export,Nastaŭnickaja hazieta,nastgaz.by,4,1,
T2,by,ru,export,National State Television and Radio Company of the Republic of Belarus,news.by,4,38,
T2,by,ru,export,Nauka i Tehnika,sat.bntu.by,4,38,
T2,by,en,export,Nexta,nexta.tv,4,2327,
T2,by,ru,export,Obshchenatsional'noe Televidenie,ont.by,4,38,
T2,by,ru,export,Perspective,rgazeta.by,4,38,
T2,by,be,export,Prajdzisvet,prajdzisvet.org,4,1,
T2,by,ru,export,pressball.by,pressball.by,4,38,
T2,by,ru,export,Pribory i Metody Izmerenij,pimi.bntu.by,4,38,
T2,by,ru,export,Prydnyaprowskaya niva,pniva.by,4,38,
T2,by,ru,export,Q100301853,pramen-news.by,4,38,
T2,by,ru,export,Q101064541,osh.by,4,38,
T2,by,ru,export,Q104889640,maiak.by,4,38,
T2,by,ru,export,Q107286947,catholicnews.by,4,38,
T2,by,ru,export,Q109174118,p-shkola.by,4,38,
T2,by,ru,export,Q110560448,edinstvo.by,4,38,
T2,by,ru,export,Q111722519,kv.by,4,38,
T2,by,ru,export,Q111983046,polese.by,4,38,
T2,by,ru,export,Q111986684,rodniva.by,4,38,
T2,by,ru,export,Q111986692,krugloe.by,4,38,
T2,by,ru,export,Q111986702,klich.by,4,38,
T2,by,ru,export,Q111986714,krichevlive.by,4,38,
T2,by,ru,export,Q111986791,gorkiv.by,4,38,
T2,by,ru,export,Q111986872,kirovsk.by,4,38,
T2,by,ru,export,Q111986895,slavgorod.by,4,38,
T2,by,ru,export,Q111986929,chausynews.by,4,38,
T2,by,ru,export,Q111986971,knews.by,4,38,
T2,by,ru,export,Q111987142,kleck.by,4,38,
T2,by,,,Q113585561,ganc-chas.com,4,,
T2,by,ru,export,Q118291380,shklovinfo.by,4,38,
T2,by,ru,export,Q120031064,vayar.mil.by,4,38,
T2,by,ru,export,Q12150328,gazetaby.com,4,38,
T2,by,be,export,Q124173601,kultura-info.by,4,1,
T2,by,be,export,Q13027898,ave-maria.by,4,1,
T2,by,be,export,Q13028880,dompressy.by,4,1,
T2,by,be,export,Q13031747,n-asveta.by,4,1,
T2,by,be,export,Q13032461,dokshitsy.by,4,1,
T2,by,be,export,Q13133273,dziejaslou.by,4,1,
T2,by,ru,export,Q134611521,babruisk.info,4,38,
T2,by,ru,export,Q137474882,drogichin.by,4,38,
T2,by,be,export,Q140354325,mrb.ave-maria.by,4,1,
T2,by,ru,export,Q140388015,vrgames.by,4,38,
T2,by,ru,export,Q18690085,praleska-red.by,4,38,
T2,by,be,export,Q3656361,mastlit.by,4,1,
T2,by,,,Q4126761,8channel.tv,4,,
T2,by,ru,export,Q4299201,mogpravda.by,4,38,
T2,by,ru,export,Q43373785,polotsk-psv.by,4,38,
T2,by,,,Q4362793,pilotfm.com,4,,
T2,by,ru,export,Q4438122,sportpanorama.by,4,38,
T2,by,ru,export,Q52766526,gorka.by,4,38,
T2,by,be,export,Q6466011,bobrlife.by,4,1,
T2,by,be,export,Q6520849,media.catholic.by,4,1,
T2,by,ru,export,Q6541380,tribunapracy.by,4,38,
T2,by,ru,export,Q67193219,zarya.by,4,38,
T2,by,ru,export,Q67198069,vg-gazeta.by,4,38,
T2,by,ru,export,Q67199660,zara.by,4,38,
T2,by,ru,export,Q75535638,lluban.by,4,38,
T2,by,ru,export,Q83615977,senno.by,4,38,
T2,by,ru,export,Q85398871,orshanka.by,4,38,
